nome,aulas
ALGORITMO E LÓGICA DE PROGRAMAÇÃO - INTEGRADO,3
ANÁLISE E PROJETO DE SISTEMAS - INTEGRADO,2
ARQUITETURA DE COMPUTADORES  - INTEGRADO,3
ARTES - INTEGRADO,2
BANCO DE DADOS - INTEGRADO,2
BIOLOGIA 1 - INTEGRADO,2
BIOLOGIA 2 - INTEGRADO,2
DESENVOLVIMENTO WEB - INTEGRADO,3
EDUCAÇÃO FÍSICA 1 - INTEGRADO,2
EDUCAÇÃO FÍSICA 2 - INTEGRADO,2
ESPANHOL - INTEGRADO,2
ESTRUTURA DE DADOS - INTEGRADO,3
FILOSOFIA 1 - INTEGRADO,2
FILOSOFIA 2 - INTEGRADO,2
FILOSOFIA 3 - INTEGRADO,2
FÍSICA 1 - INTEGRADO,2
FÍSICA 2 - INTEGRADO,3
FÍSICA 3 - INTEGRADO,2
GEOGRAFIA - INTEGRADO,2
HISTÓRIA 1 - INTEGRADO,2
HISTÓRIA 2 - INTEGRADO,2
INFORMÁTICA BÁSICA - INTEGRADO,2
INGLÊS 1 - INTEGRADO,2
INGLÊS 2 - INTEGRADO,2
INSTALAÇÃO E MANUTENÇÃO DE COMPUTADORES - INTEGRADO,3
INSTALAÇÃO E MANUTENÇÃO DE COMPUTADORES - INTEGRADO,3
LIBRAS - INTEGRADO,2
LÍNGUA PORTUGUESA 1 - INTEGRADO,4
LÍNGUA PORTUGUESA 2 - INTEGRADO,2
LÍNGUA PORTUGUESA 3 - INTEGRADO,3
LINGUAGEM DE PROGRAMAÇÃO I - INTEGRADO,3
LINGUAGEM DE PROGRAMAÇÃO II - INTEGRADO,2
MATEMÁTICA 1 - INTEGRADO,4
MATEMÁTICA 2 - INTEGRADO,2
MATEMÁTICA 3 - INTEGRADO,2
"ORGANIZAÇÃO,NORMAS E QUALIDADE/EMPREENDEDORISMO - INTEGRADO",4
PRÁTICA PROFISSIONAL ARTICULADA 1 - INTEGRADO,2
PRÁTICA PROFISSIONAL ARTICULADA 2 - INTEGRADO,2
PRÁTICA PROFISSIONAL ARTICULADA 3 - INTEGRADO,2
QUÍMICA 1 - INTEGRADO,2
QUÍMICA 2 - INTEGRADO,2
REDES DE COMPUTADORES - INTEGRADO,4
"SEGURANÇA,MEIO AMBIENTE E SAÚDE INTEGRADO - INTEGRADO",2
SISTEMAS OPERACIONAIS - INTEGRADO,4
SOCIOLOGIA 1 - INTEGRADO,2
SOCIOLOGIA 2 - INTEGRADO,2
SOCIOLOGIA 3 - INTEGRADO,2
ANÁLISE E MODELAGEM DE DADOS - SUBSEQUENTE,4
ARQUITETURA DE COMPUTADORES  - SUBSEQUENTE,4
BANCO DE DADOS - SUBSEQUENTE,4
DESENHO TÉCNICO - SUBSEQUENTE,2
DESENVOLVIMENTO WEB I - SUBSEQUENTE,4
DESENVOLVIMENTO WEB II - SUBSEQUENTE,4
ELETRÔNICA DIGITAL BÁSICA - SUBSEQUENTE,4
EMPREENDEDORISMO - SUBSEQUENTE,2
ESTRUTURA DE DADOS - SUBSEQUENTE,4
FÍSICA APLICADA - SUBSEQUENTE,2
GESTÃO DE ORGANIZAÇÕES - SUBSEQUENTE,2
INGLÊS TÉCNICO - SUBSEQUENTE,3
INTRODUÇÃO À INFORMÁTICA - SUBSEQUENTE,4
LINGUAGEM I - SUBSEQUENTE,4
LINGUAGEM II - SUBSEQUENTE,4
LÓGICA DE PROGRAMAÇÃO - SUBSEQUENTE,4
MATEMÁTICA APLICADA - SUBSEQUENTE,3
"ORGANIZAÇÃO,NORMAS E QUALIDADE - SUBSEQUENTE",3
PRODUÇÃO TEXTUAL E NORMAS TÉCNICAS - SUBSEQUENTE,3
PROJETO INTEGRADOR - SUBSEQUENTE,3
REDE DE COMPUTADORES I - SUBSEQUENTE,4
REDE DE COMPUTADORES II - SUBSEQUENTE,4
"SEGURANÇA,MEIO AMBIENTE E SAÚDE SUB INFORMÁTICA - SUBSEQUENTE",2
SISTEMAS OPERACIONAIS - SUBSEQUENTE,3
